conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,93785E+18;Wed Jun 25 12:19:23 +0000 2025;104;JELANG HARI BHAYANGKARA KE 79 POLSEK IDI RAYEUK KEMBALI GELAR BANSOS Harapannya bantuan sosial ini dapat bermanfaat bagi masyarakat dan meningkatkan kepercayaan masyarakat terhadap Polri. @DivHumas_Polri @bidhumasaceh https://t.co/HBKgETF8m9 https://t.co/8rLd45UpYS;1,93785E+18;https://pbs.twimg.com/media/GuSejHVasAA5mC9.jpg;;in;;0;0;5;https://x.com/undefined/status/1937848093049028942;3590645602;
1,93784E+18;Wed Jun 25 11:39:13 +0000 2025;0;Sekcam muaradua mewakili camat muaradua menghadiri kegiatan penyerahan bantuan bencana kebakaran di tangga batu dari dinas sosial provinsi SumSel anggota DPR provinsi SumSel At-thahirah putri lestari SE Kemenag OKU Selatan dan BPKRMI OKU Selatan. Rabu 25 Juni 2025 https://t.co/K6WVM5FVKA;1,93784E+18;https://pbs.twimg.com/media/GuSVJUKbcAAwsA9.jpg;;in;;0;0;0;https://x.com/undefined/status/1937837983878836369;1,66126E+18;
1,93783E+18;Wed Jun 25 11:07:10 +0000 2025;0;penyerahan Bantuan Permakanan bagi Lansia dan Disabilitas di Kabupaten Kudus. Bertempat di aula Dinas Sosial P3AP2KB Kab. Kudus. Rabu (25/6/25) https://t.co/eCHBdI49UL;1,93783E+18;https://pbs.twimg.com/ext_tw_video_thumb/1937829809478062081/pu/img/gBq2qp0PfeagFF5b.jpg;;in;;0;0;0;https://x.com/undefined/status/1937829921029779709;1,50358E+18;
1,93783E+18;Wed Jun 25 10:52:36 +0000 2025;0;Kapolsek Pangkalan Kuras Akp Rinaldi Parlindungan S.H memimpin kegiatan Pemberian Bantuan Sosial Bertujuan Membantu Masyarakat yang membutuhkan dan mempererat hubungan antara Polri dengan Masyarakat https://t.co/PRxo9p2lp1;1,93783E+18;https://pbs.twimg.com/media/GuSKkwka8AAjZ1w.jpg;;in;;0;0;0;https://x.com/undefined/status/1937826251697434994;1,40943E+18;
1,93783E+18;Wed Jun 25 10:50:34 +0000 2025;0;BANTUAN SOSIAL DALAM RANGKA MEMPERINGATI HUT BHAYANGKARA KE-79 #kalemdiklatpolri #lemdiklatpolri #komjenpolchrysnandal #spnpoldamaluku #poldamaluku #balajare https://t.co/u8rnRv7NK9;1,93783E+18;https://pbs.twimg.com/amplify_video_thumb/1937823986089648128/img/qfZntJ1_I3UG5kwC.jpg;;in;;0;0;0;https://x.com/undefined/status/1937825740629946495;1,81611E+18;
1,93782E+18;Wed Jun 25 10:47:04 +0000 2025;0;Menyambut Hari Bhayangkara ke-79 yang jatuh pada 1 Juli 2025 nanti Ditpolairud Polda DIY menyalurkan bantuan sosial dari Polda DIY berupa 100 paket sembako kepada masyarakat Pesisir di Pantai Depok Kuwaru dan Congot https://t.co/jCyJ896j3A;1,93782E+18;;;in;;0;0;0;https://x.com/undefined/status/1937824860115501292;2439261715;
1,93782E+18;Wed Jun 25 10:45:36 +0000 2025;0;LANGSA Dalam rangka menyambut Hari Bhayangkara ke-79 Polres Langsa menggelar kegiatan bantuan sosial dengan menyalurkan 200 paket sembako kepada masyarakat yang membutuhkan Rabu (26/6/2025) di Mapolres Langsa. #bidhumaspoldaaceh #polriuntukmasyarakat #haribhayangkarake79 https://t.co/yM2U9T7ojA;1,93782E+18;https://pbs.twimg.com/media/GuSJF1NacAAhJWa.jpg;;in;;0;0;0;https://x.com/undefined/status/1937824491184488906;1,77514E+18;
1,93782E+18;Wed Jun 25 10:13:15 +0000 2025;96;Menteri Sosial Saifullah Yusuf (Gus Ipul) mengajak seluruh masyarakat untuk aktif mengawasi penyaluran bantuan sosial agar tepat sasaran. @KemensosRI menyediakan beberapa saluran yang bisa dijadikan layanan aduan. Yuk kawal bansos bersama demi keadilan sosial yang merata! https://t.co/rg2kuO8xnb;1,93782E+18;https://pbs.twimg.com/media/GuSBsh9aMAEGVOv.jpg;;in;;1;16;5;https://x.com/undefined/status/1937816351915249976;2889531644;
1,93781E+18;Wed Jun 25 10:04:50 +0000 2025;1;Dipimpin Kapolsek Delanggu AKP Jaka Waloya S.H melaksanakan Giat Bantuan Sosial Berupa Pakaian Layak Pakai di Simpang Empat Pasar Delanggu dan Aula Polsek Delanggu dalam rangka HUT Bhayangkara ke-79. https://t.co/uSfcsNBrw4;1,93781E+18;https://pbs.twimg.com/ext_tw_video_thumb/1937814151595958272/pu/img/B3SE8D3--NwCPfJR.jpg;;in;;0;0;0;https://x.com/undefined/status/1937814232973934843;1,28113E+18;
1,93781E+18;Wed Jun 25 09:38:30 +0000 2025;0;Kapolsek Bojongpicung Ibu Ketua ranting Bhayangkari Bojongpicung beserta Personil Polsek Bojongpicung melaksanakan kegiatan bantuan sosial kepada Purnawirawan Warakawuri Anak Yatim/piatu serta warga masyarakat (dhuafa) dalam rangka Hut Bhayangkara Ke-79 Tahun. https://t.co/1llK0kTMHO;1,93781E+18;https://pbs.twimg.com/media/GuR5vOzbEAAgzYS.jpg;;in;;0;0;0;https://x.com/undefined/status/1937807604484637164;1,27324E+18;
1,93781E+18;Wed Jun 25 09:34:11 +0000 2025;0;Kapolsek Bojongpicung Ibu Ketua ranting Bhayangkari Bojongpicung beserta Personil Polsek Bojongpicung melaksanakan kegiatan bantuan sosial kepada Purnawirawan Warakawuri Anak Yatim/piatu serta warga masyarakat (dhuafa) dalam rangka Hut Bhayangkara Ke-79 Tahun. https://t.co/AOsjwgpai0;1,93781E+18;https://pbs.twimg.com/media/GuR4v2da4AA4_28.jpg;;in;;0;0;0;https://x.com/undefined/status/1937806517287448904;1,27324E+18;
1,9378E+18;Wed Jun 25 09:27:46 +0000 2025;0;Efektivitas Inpres 8/2025 Cak Imin: Masyarakat Jangan Menunggu Bantuan Sosial https://t.co/DsAl4tImba;1,9378E+18;;;in;;0;0;0;https://x.com/undefined/status/1937804902383878378;79130206;
1,9378E+18;Wed Jun 25 09:25:34 +0000 2025;11; Polwan Peduli Bantuan Sosial dari Pakor Polwan Polda Bali dan Polwan Polres Jembrana Sambut Hari Bhayangkara Ke-79 #HariBhayangkara79 #PakorPolwan #PolwanJembrana #PolriMengabdi #PolriUntukMasyarakat #SinergiJembrana #SinergiUntukNegeri #PolriUntukNegeri #PolresJembrana https://t.co/SAi4QZ5wS9;1,9378E+18;https://pbs.twimg.com/ext_tw_video_thumb/1937804281119399936/pu/img/RcixK5eyrgZ8N4A7.jpg;;in;;5;0;4;https://x.com/undefined/status/1937804350447120428;4863077292;
1,9378E+18;Wed Jun 25 09:07:05 +0000 2025;1;Bertemakan Keberkesanan Kesyukuran dan Keterangkuman skuad ini digerakkan bagi menjalankan misi kesukarelawanan dan bantuan semasa bencana serta krisis berpaksikan tanggungjawab sosial. https://t.co/Tg3CRt4hhr;1,9378E+18;https://pbs.twimg.com/media/GuRyjFJaAAAZl2o.jpg;fauzimdisa;in;;0;1;2;https://x.com/undefined/status/1937799697445667269;1,65435E+18;
1,9378E+18;Wed Jun 25 08:54:17 +0000 2025;4;Sambut Hari Bhayangkara Ke - 79 Polres Tolikara Salurkan 25 Paket Bantuan Sosial Kepada Tokoh Agama Pemuda Lma Dan Masyarakat Tolikara https://t.co/1IR1ZzR3FH;1,9378E+18;https://pbs.twimg.com/media/GuRvnWdbYAA2_2W.jpg;;in;;0;1;0;https://x.com/undefined/status/1937796477105103220;1,30028E+18;
